scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_sardine_8,Fishing,No Warming,ctrl,sardine,8,temp,-1.0296509104479329e-16,6.712976163812718e-16,-0.1533821788312637,0.8784122884415083,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_9,Fishing,No Warming,ctrl,sardine,9,temp,-7.629909461449983e-16,7.215697974650085e-16,-1.0574042162317616,0.2929267083908384,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_exp_cod_1,Fishing,No Warming,exp,cod,1,temp,0.0035183218217183423,0.0035890269494597725,0.9802996386661089,0.3293521122456543,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_10,Fishing,No Warming,exp,cod,10,temp,0.00142085072225715,0.003171329326709843,0.44803001387788355,0.6551204458219453,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_11,Fishing,No Warming,exp,cod,11,temp,-5.084480675879979e-4,0.0029643420168866197,-0.1715213914897746,0.8641674859957641,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_12,Fishing,No Warming,exp,cod,12,temp,0.0033132408348300543,0.0027191359556963737,1.218490317811832,0.2259629059970239,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_13,Fishing,No Warming,exp,cod,13,temp,1.4066209717363785e-4,0.0027536202500044924,0.05108260558928137,0.959363671851458,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_14,Fishing,No Warming,exp,cod,14,temp,0.0026710964365270723,0.003428489173098524,0.7790884852388342,0.4378048756110138,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_15,Fishing,No Warming,exp,cod,15,temp,0.0013311565955606887,0.0028457945625009625,0.4677627166420726,0.6409928365226292,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_16,Fishing,No Warming,exp,cod,16,temp,0.004940103284072868,0.00243473748981774,2.0290085911654794,0.045169517753254014,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_17,Fishing,No Warming,exp,cod,17,temp,0.0030974955023897605,0.0022290624643758433,1.389595649243991,0.16780062527958747,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_18,Fishing,No Warming,exp,cod,18,temp,0.0036565368351673734,0.002750636132617087,1.3293422535275028,0.18682142199513926,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_19,Fishing,No Warming,exp,cod,19,temp,0.0037441601452201764,0.0025602814780904463,1.4624017621737089,0.14683073419392406,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_2,Fishing,No Warming,exp,cod,2,temp,0.00399297823351723,0.0032729309453531736,1.220000757787561,0.2253923635152061,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
Fished_NoWarming_exp_cod_20,Fishing,No Warming,exp,cod,20,temp,0.0013547481311862925,0.0032860319233345907,0.4122747930615126,0.6810384797473851,Fished_NoWarming_exp_cod,Fished_NoWarming_exp
